State/Region,Year-Month,Trendline_Coefficient,prediction
Hubei,2020-1,709.8666666666664,0
Yunnan,2020-1,10.583333333333329,1
Shaanxi,2020-1,10.266666666666664,1
Hebei,2020-1,10.216666666666661,1
Guangxi,2020-1,9.633333333333331,1
Heilongjiang,2020-1,7.066666666666665,1
Hainan,2020-1,6.133333333333332,1
Liaoning,2020-1,5.799999999999998,1
Shanxi,2020-1,5.233333333333332,1
Gansu,2020-1,3.866666666666666,1
Tianjin,2020-1,3.7499999999999996,1
Inner Mongolia,2020-1,2.666666666666666,1
Ningxia,2020-1,2.499999999999999,1
Guizhou,2020-1,2.416666666666666,1
Xinjiang,2020-1,2.0333333333333328,1
Thailand,2020-1,1.8166666666666664,1
Jilin,2020-1,1.6499999999999997,1
Japan,2020-1,1.5333333333333328,1
Singapore,2020-1,1.333333333333333,1
Hong Kong,2020-1,1.2333333333333332,1
Qinghai,2020-1,1.183333333333333,1
Taiwan,2020-1,1.133333333333333,1
Malaysia,2020-1,1.0333333333333332,1
South Korea,2020-1,0.8499999999999999,1
United States of America,2020-1,0.7999999999999998,1
Macau,2020-1,0.7833333333333332,1
Germany,2020-1,0.7333333333333331,1
New South Wales,2020-1,0.6166666666666665,1
United Arab Emirates,2020-1,0.5999999999999999,1
France,2020-1,0.5666666666666668,1
Victoria,2020-1,0.33333333333333326,1
Queensland,2020-1,0.3095238095238094,1
British Columbia,2020-1,0.16666666666666663,1
Cambodia,2020-1,0.1666666666666666,1
Sri Lanka,2020-1,0.1666666666666666,1
Finland,2020-1,0.14999999999999997,1
Italy,2020-1,0.13333333333333328,1
Zhejiang,2020-1,62.266666666666644,2
Guangdong,2020-1,50.216666666666654,2
Henan,2020-1,43.79999999999998,2
Hunan,2020-1,41.34999999999998,2
Anhui,2020-1,28.983333333333327,3
Jiangxi,2020-1,26.983333333333327,3
Chongqing,2020-1,25.166666666666657,3
Shandong,2020-1,23.26666666666666,3
Sichuan,2020-1,21.049999999999994,3
Jiangsu,2020-1,20.183333333333326,3
Fujian,2020-1,15.166666666666664,3
Shanghai,2020-1,15.066666666666665,3
Beijing,2020-1,14.416666666666666,3
France,2020-10,25606.437499999993,0
Brazil,2020-10,22475.824193548284,0
United Kingdom,2020-10,18402.678225806456,0
Ukraine,2020-10,5935.556854838705,1
Mexico,2020-10,5585.902419354818,1
Iran,2020-10,4865.004435483862,1
Indonesia,2020-10,4029.055645161286,1
Romania,2020-10,3676.822177419353,1
Iraq,2020-10,3492.440322580636,1
Switzerland,2020-10,3262.079838709677,1
Nepal,2020-10,3238.2620967741927,1
Morocco,2020-10,3120.497983870966,1
Peru,2020-10,2868.8383064516033,1
Philippines,2020-10,2225.066532258059,1
Portugal,2020-10,2088.5443548387084,1
Jordan,2020-10,1916.0350806451615,1
Turkey,2020-10,1829.7834677419285,1
Israel,2020-10,1773.9499999999975,1
Austria,2020-10,1698.8233870967738,1
South Africa,2020-10,1645.5004032257975,1
Slovakia,2020-10,1581.159274193548,1
Chile,2020-10,1499.521774193538,1
Hungary,2020-10,1479.0181451612898,1
Bangladesh,2020-10,1433.7391129032192,1
Tunisia,2020-10,1368.6774193548385,1
Lebanon,2020-10,1299.8979838709672,1
Myanmar,2020-10,1290.7903225806451,1
Armenia,2020-10,1284.5838709677414,1
United Arab Emirates,2020-10,1265.0725806451583,1
Costa Rica,2020-10,1111.04879032258,1
Georgia,2020-10,1055.1939516129032,1
Quebec,2020-10,995.3741935483861,1
Croatia,2020-10,990.9713709677418,1
Bulgaria,2020-10,981.0165322580644,1
Ecuador,2020-10,974.4862903225795,1
Sweden,2020-10,952.593951612903,1
Ireland,2020-10,911.2891129032255,1
Libya,2020-10,898.1774193548381,1
United States of America,2020-10,61510.411693548456,2
India,2020-10,59414.12096774181,2
Russian Federation,2020-10,14381.529838709675,3
Argentina,2020-10,13738.219758064495,3
Spain,2020-10,13656.984274193537,3
Italy,2020-10,11104.1689516129,3
Belgium,2020-10,10053.90766129032,3
Czechia,2020-10,8908.300806451613,3
Poland,2020-10,8407.844758064517,3
Netherlands,2020-10,7924.42620967742,3
Colombia,2020-10,7771.264919354825,3
Germany,2020-10,6984.745161290321,3
Argentina,2020-11,8742.310789766378,0
Romania,2020-11,8163.315016685201,0
Colombia,2020-11,7823.661846496082,0
Turkey,2020-11,6700.6729699666275,0
Austria,2020-11,6206.613793103447,0
Mexico,2020-11,6108.082758620674,0
Czechia,2020-11,5912.030923248046,0
Portugal,2020-11,5605.822024471631,0
Switzerland,2020-11,5450.970189098993,0
Netherlands,2020-11,5373.962847608446,0
Jordan,2020-11,5048.953058954392,0
Morocco,2020-11,4757.376418242487,0
Hungary,2020-11,4684.421357063404,0
Belgium,2020-11,4483.851390433808,0
Serbia,2020-11,4398.61401557286,0
Sweden,2020-11,4378.049610678528,0
Indonesia,2020-11,4360.672747497208,0
Georgia,2020-11,3323.4593993325916,0
Bulgaria,2020-11,3231.1341490545037,0
Croatia,2020-11,2681.9612903225798,0
Iraq,2020-11,2632.4872080088903,0
Greece,2020-11,2354.4816462736367,0
Pakistan,2020-11,2308.8767519466055,0
South Africa,2020-11,2205.857842046703,0
Azerbaijan,2020-11,2172.72235817575,0
